label,model,dataset,features,n_features,n_samples,mean_kappa,std_kappa,min_kappa,max_kappa,mean_high_recall,std_high_recall,combined_score,kappa_scores,high_recall_scores
XGB_deep | OldUp | All,XGB_deep,OldUp,All,193,3204,0.5913792030710632,0.026098071958725058,0.5346795434591747,0.6397158460969901,0.4897560975609757,0.06414495036978125,0.5608922714180369,"[0.5931115321184697, 0.5836518427552329, 0.602024550743198, 0.6397158460969901, 0.5974508909440275, 0.6129049995188804, 0.5673826373656693, 0.5346795434591747, 0.5894719417315015, 0.5933982459774878]","[0.6097560975609756, 0.4878048780487805, 0.4, 0.575, 0.5, 0.475, 0.475, 0.45, 0.525, 0.4]"
GBM_default | OldUp | Top75,GBM_default,OldUp,Top75,75,3204,0.5938542507534483,0.026599251829836888,0.5445563708217607,0.6245012907768128,0.48725609756097554,0.07677042365162647,0.5618748047957065,"[0.5837655601659751, 0.5918119117057595, 0.6181184192533844, 0.6145249109591845, 0.596054876610856, 0.6245012907768128, 0.547696912587994, 0.5445563708217607, 0.6102098444161452, 0.6073024102366114]","[0.5853658536585366, 0.5121951219512195, 0.375, 0.625, 0.4, 0.475, 0.425, 0.45, 0.55, 0.475]"
RF_balanced | OldUp | Top30,RF_balanced,OldUp,Top30,30,3204,0.5974951234413661,0.024818471239062403,0.558060376095084,0.6332555474240897,0.4773780487804878,0.0768981737076485,0.5614600010431026,"[0.576295888904166, 0.6186437165867742, 0.6023345125190986, 0.6228637003237749, 0.558060376095084, 0.6113449727417017, 0.578164460355785, 0.5649037127476553, 0.6090843467155311, 0.6332555474240897]","[0.5853658536585366, 0.4634146341463415, 0.375, 0.575, 0.35, 0.55, 0.45, 0.425, 0.525, 0.475]"
RF_1000trees | OldUp | Top75,RF_1000trees,OldUp,Top75,75,3204,0.5980467852193168,0.028821216981705245,0.5506992520921956,0.6308020921762467,0.4772560975609756,0.0760842946925955,0.5618095789218144,"[0.5883310120385565, 0.6189174638671471, 0.5856756422755296, 0.6308020921762467, 0.5814607132421489, 0.6279172780377067, 0.5506992520921956, 0.5531591317572238, 0.62291877504055, 0.6205864916658624]","[0.5853658536585366, 0.5121951219512195, 0.375, 0.575, 0.4, 0.475, 0.45, 0.4, 0.575, 0.425]"
GBM_deep | OldUp | Top75,GBM_deep,OldUp,Top75,75,3204,0.5931678032217989,0.03304258873210585,0.5354239256678281,0.6507804945434452,0.4772560975609756,0.09022043613819483,0.5583942915235518,"[0.5920718209395753, 0.5623028717030507, 0.5903252367229312, 0.6291135971291476, 0.5991202917513432, 0.6507804945434452, 0.5547702196930697, 0.5354239256678281, 0.6107109777845363, 0.6070585962830612]","[0.6097560975609756, 0.4878048780487805, 0.35, 0.65, 0.4, 0.425, 0.4, 0.45, 0.525, 0.475]"
RF_bal_sub | OldUp | All,RF_bal_sub,OldUp,All,193,3204,0.5827226842561035,0.038520974551641655,0.5081694821379119,0.6297724643270344,0.47487804878048784,0.08721507532229804,0.5503692936134188,"[0.5929259652363295, 0.5852827180516231, 0.5681337689794349, 0.6235836321738775, 0.5511734481322039, 0.6297724643270344, 0.5391475337192234, 0.5081694821379119, 0.6233938856889676, 0.6056439441144297]","[0.5853658536585366, 0.4634146341463415, 0.425, 0.6, 0.4, 0.5, 0.425, 0.35, 0.6, 0.4]"
GBM_default | OldUp | All,GBM_default,OldUp,All,193,3204,0.5878183962977064,0.026949103473276906,0.546854377474703,0.6237221077095467,0.46987804878048783,0.07317337393603379,0.5524362920425407,"[0.5919993439844743, 0.5570825399453597, 0.5854137755732952, 0.6172758294618262, 0.5980909319266516, 0.6237221077095467, 0.5549807390101102, 0.546854377474703, 0.6226886210101402, 0.580075696880957]","[0.5609756097560976, 0.4878048780487805, 0.4, 0.6, 0.35, 0.475, 0.4, 0.45, 0.525, 0.45]"
ExtraTrees | OldUp | Top50,ExtraTrees,OldUp,Top50,50,3204,0.6117656306193633,0.03831316633164144,0.5537332998633309,0.6871902191871351,0.4675609756097561,0.09395935873869381,0.5685042341164811,"[0.5792748544466213, 0.607437671975319, 0.5825632228432295, 0.6420468625237479, 0.6245180756551377, 0.6871902191871351, 0.57253183051555, 0.5537332998633309, 0.6401599289204798, 0.6282003402630814]","[0.5365853658536586, 0.43902439024390244, 0.275, 0.55, 0.4, 0.55, 0.5, 0.375, 0.6, 0.45]"
ExtraTrees | OldUp | Top75,ExtraTrees,OldUp,Top75,75,3204,0.6096457534720849,0.03347226723860292,0.5662623665530155,0.6638190815846949,0.4626219512195123,0.08748121664627867,0.5655386127963131,"[0.5888129803586678, 0.6024795458340291, 0.576769877728894, 0.653443693943085, 0.6011930600870989, 0.6638190815846949, 0.5662623665530155, 0.5719361805894239, 0.6399749982637684, 0.6317657497781721]","[0.5365853658536586, 0.4146341463414634, 0.3, 0.55, 0.425, 0.575, 0.4, 0.4, 0.575, 0.45]"
RF_balanced | OldUp | Top50,RF_balanced,OldUp,Top50,50,3204,0.6027939779824497,0.027099895565876317,0.554149889234113,0.6551429673296237,0.4549390243902439,0.07669774359585049,0.558437491904788,"[0.5842942756767928, 0.6042855559864813, 0.5980709165210452, 0.6551429673296237, 0.5928810099682638, 0.6319443482116874, 0.5776017785188272, 0.554149889234113, 0.6152340473127901, 0.6143349910648732]","[0.5853658536585366, 0.43902439024390244, 0.35, 0.55, 0.4, 0.475, 0.5, 0.35, 0.5, 0.4]"
GBM_deep | OldUp | All,GBM_deep,OldUp,All,193,3204,0.5948759407267419,0.02903668512885626,0.5456112053159078,0.6364694310137016,0.4548170731707318,0.08375325737048421,0.5528582804599388,"[0.6164874551971327, 0.587637267767111, 0.6111661711265279, 0.6225027007069699, 0.589966434072898, 0.6364694310137016, 0.5460172190772912, 0.5456112053159078, 0.6088997527846449, 0.5840017702052331]","[0.5853658536585366, 0.4878048780487805, 0.35, 0.575, 0.35, 0.475, 0.375, 0.425, 0.525, 0.4]"
RF_1000trees | OldUp | All,RF_1000trees,OldUp,All,193,3204,0.5840586287054798,0.021638649493366593,0.5494025959541038,0.6229867213705542,0.4425609756097561,0.07280998470467376,0.5416093327767626,"[0.5840535957983541, 0.5817299695037428, 0.5711629572498897, 0.5955891514723595, 0.5704097329044888, 0.6229867213705542, 0.5581836438692402, 0.5494025959541038, 0.6083721577080871, 0.5986957612239779]","[0.5609756097560976, 0.4146341463414634, 0.4, 0.5, 0.425, 0.475, 0.4, 0.375, 0.55, 0.325]"
RF_balanced | OldUp | Top75,RF_balanced,OldUp,Top75,75,3204,0.5887929766941108,0.03533669412970358,0.5319030370576763,0.6369078820316165,0.4225609756097561,0.07926500931286286,0.5389233763688044,"[0.5539932195853943, 0.6130761877052247, 0.6051333084546171, 0.6369078820316165, 0.5613433858807402, 0.6082413989788679, 0.5431067064208626, 0.5319030370576763, 0.6123858320338605, 0.6218388087922477]","[0.4878048780487805, 0.4878048780487805, 0.35, 0.525, 0.375, 0.425, 0.35, 0.325, 0.55, 0.35]"
ExtraTrees | OldUp | All,ExtraTrees,OldUp,All,193,3204,0.5815893842880671,0.03726010725586387,0.5269937354825086,0.6314233774163556,0.41536585365853657,0.09028542222194108,0.5317223250992079,"[0.5879503105590063, 0.5569389063937763, 0.549977097011507, 0.6156652002004789, 0.5758661045388531, 0.6314233774163556, 0.5269937354825086, 0.5307524719289425, 0.6172142320638718, 0.6231124072853718]","[0.4878048780487805, 0.36585365853658536, 0.3, 0.5, 0.425, 0.525, 0.3, 0.325, 0.55, 0.375]"
RF_balanced | OldUp | All,RF_balanced,OldUp,All,193,3204,0.5755334296567892,0.033041590640723185,0.5195801939077606,0.6241610738255033,0.39518292682926826,0.08628143583035146,0.5214282788085329,"[0.584792556224704, 0.5850926324859975, 0.567042562954517, 0.5757807609376087, 0.5503470758508276, 0.6118399955383907, 0.5195801939077606, 0.5288706918309543, 0.6078267530116286, 0.6241610738255033]","[0.5121951219512195, 0.4146341463414634, 0.3, 0.45, 0.35, 0.475, 0.3, 0.3, 0.525, 0.325]"
